HINDI 	MARATHI 	SCORE
पीने	पिण्यास	0.982541
सँवारा	सुधारले	0.982539
की	केल्या	0.982534
बदलते	बदलले	0.982513
कर	करणार	0.982504
बैठने	बसण्याचा	0.982504
करता	करते.	0.98248
करने	करताना	0.982478
पहुँचा	पोहोचता	0.982468
उतारिए	उतरवा	0.982468
करती	करतो	0.982445
खुल	केली	0.982443
जाने	जाणता	0.982425
कराने	करण्या	0.982414
जानकर	जाणूनदेखील	0.982375
मिलती	मिळते	0.982362
निकल	निघत	0.982357
मरे	मेले	0.982343
होती	होते	0.982342
बदलते	बदलताना	0.982328
देती	देतात	0.982327
करता	करते	0.982321
किया	केले.	0.98229
करते	करणारे	0.982281
बोलने	बोलणार्‍या	0.982265
स्थित	आहेत	0.982242
नाचते	नाचताना	0.982229
करते	करताच	0.982227
खा	खात	0.982224
जाएँ	जायचे	0.982181
बनी	बनली	0.982177
आकर्षित	करु	0.982165
जाती	रंगतात	0.982135
करें	करावे	0.982131
बोली	बोलल्या	0.982105
चढ़ते	चढत	0.982087
लगता	लागतो	0.98207
आयोजन	आहे	0.982054
देती	देतो.	0.982045
करना	करताना	0.98203
जाने	जाणार	0.982016
चलते	चालतात	0.981999
लेने	लागणारा	0.981971
मिल	मिळून	0.981938
रहना	राहायचे	0.981924
फैले	पसरलेल्या	0.981923
काराया	करण्यात	0.981918
बना	बनले	0.981909
रहती	राहते	0.981898
निकलने	निघणार्‍या	0.981876
होता	होते	0.981858
चराते	चरवत	0.981852
आता	येत	0.981834
देते	देत	0.981807
मिलती-जुलती	मिळती-जुळती	0.981804
खेले	खेळलो	0.981796
पसर	पसरत	0.981739
तब्दील	असलेले	0.981737
लगाया	लावता	0.981697
करती	करणार्‍या	0.981671
ले	केल्यानंतरच	0.98167
देते	देतात	0.981651
कर	करताच	0.98165
स्थित	आहे.	0.98165
होते	होताना	0.981647
मिलाकर	मिळून	0.981617
साक्षी	आहे	0.981577
स्थित	आहेत.	0.981574
दिखती	दिसत	0.981562
करता	करत	0.981513
फूलते	फूलतात.	0.98147
किये	केले	0.981467
करते	करतो	0.981461
होती	होतो	0.981452
रह	राहू	0.981441
होते	होतच	0.981427
की	केली.	0.98137
दिया	आहे	0.981361
झेल	झेलत	0.981292
करता	करीत	0.981291
उगती	उगते	0.981287
चढ़ने	चढणार्‍या	0.981287
रहती	राहते.	0.981285
देने	आहे	0.981256
करके	करत	0.981254
होती	होते.	0.98122
जा	जात	0.981207
थिरकना	थिरकणेच	0.981177
पहुँचना	पोहचणे	0.981176
आकर्षित	करतात	0.981148
आया	येऊ	0.981142
पड़कर	पडून	0.981135
पीकर	पिऊन	0.981134
बन	बनला	0.981131
बुलवाए	बोलवले	0.981121
मारने	मारणारे	0.981106
मिलते	मिळते	0.981079
कर	करतात	0.981043
आती	येते	0.981042
होते	असत	0.981039
सैर	आहे.	0.981023
पहुँचता	पोहचवतो	0.981015
करवाया	करतात	0.980987
बन	बनली	0.980956
कराई	करता	0.980944
करती	करणार्‍यांना	0.980939
कराता	करुन	0.980928
करने	करण्यातील	0.980926
दिखाई	दिसत	0.980919
भरते	भरत	0.980911
होता	होतो	0.980863
सो	स्लीपिंग	0.980862
चल	चालत	0.980837
कर	करणारा	0.980812
किया	केले	0.980806
कराते	करतात	0.980775
चढ़	चढू	0.980656
लगता	लागतो.	0.980607
समझते	समजतात	0.980584
थे	आहे	0.980577
कराने	करणार्‍या	0.980576
देखने	दिसून	0.980573
स्थित	नाही	0.980559
चढ़ाते	चढवतात	0.980515
पहुँचते	पोहचतात	0.980511
करते	करणारी	0.980482
सुनते	ऐकण्यासारखा	0.980473
भरे	भरले	0.980422
करा	करुन	0.980397
बना	बनवला	0.980393
जाती	जाणारे	0.980382
शुरू	करणे	0.980364
फैला	परलेले	0.980315
उतरते	उतरताना	0.980274
जाते	जाताना	0.980249
करने	करण्याचा	0.980244
उठाया	आहे	0.980242
कर	करेल	0.980241
कराने	करणारा	0.980126
पड़ती	पडते	0.980106
कर	खेळण्यासह	0.980105
आए	असो	0.980101
चढ़े	चढावा	0.980066
रहने	राहू	0.98005
की	केलीच	0.980026
जाने	जाण्याच्या	0.980006
बना	बनवली	0.979957
चलती	चालतात	0.979909
खुदे	कोरलेले	0.979899
रहते	राहतात.	0.979895
देती	देताना	0.979844
मारे	मारले	0.979835
समझा	समजून	0.979724
रहती	राहतात	0.979705
करने	करु	0.979696
जाते	जाताच	0.979619
मिलती	मिळतो	0.979598
बने	बनले	0.979593
पड़ती	पडत	0.979561
करने	करण्याची	0.979499
समझें	समजावे	0.979496
कर	करण्यात	0.979458
रहते	राहतात	0.979443
स्थित	बांधलेले	0.97942
फैला	पसरलेले	0.979387
कराया	करण्यात	0.979307
कीं	केल्या	0.979286
लगे	लागून	0.979283
मिलेगा	मिळेल	0.979272
कराती	करवतात	0.979242
बनकर	बनवून	0.979213
निकल	निघाले	0.979183
होता	होत	0.979157
आते	येताना	0.979142
जाया	जाता	0.979099
किए	केले	0.979078
पहुँचनै	पोहचणेच	0.979004
बदल	बदलतो	0.979004
निकलने	आहे	0.978967
पकड़ते	पकडत	0.978892
मिलता	मिळते	0.978832
चलिए	``चला	0.978826
चलिए	चला	0.978826
जमा	जमवून	0.978801
किये	केल्या	0.978797
खाना	खायचा	0.97878
बदल	बदलून	0.978766
जाते	जातात	0.978739
पीकर	पित	0.978715
बनाया	बनले	0.978698
पहुँचते	पोहचतो	0.978671
होता	वाटते	0.97867
कराने	करण्याकडे	0.978642
करने	करायला	0.978634
जिक्र	करत	0.97863
चली	चालत	0.978586
मिल	मिळू	0.978504
फैला	पसरलेली	0.978481
भरी	बनला	0.978474
खुदे	कोरलेली	0.978454
दिखाई	द्सत	0.97825
शांत	खाऊन	0.97822
पड़ता	पडते	0.978219
उतरते	उतरताच	0.978215
बुलाता	बोलवत	0.97821
चढ़	चढून	0.978193
होते	होतो	0.978189
मिलाते	मिळवतात	0.978109
बने	बनवली	0.978089
कठिन	जाणे	0.97805
मिलता	मिळते.	0.97802
उतर	उतरत	0.978007
खाते	खात	0.977973
रुकें	राहावे	0.977964
जोड़ने	जोडण्याची	0.977912
कराएगा	करवतो	0.977892
होती	होतो.	0.977844
दबा	दबलेला	0.977812
होने	आहे	0.977806
भुगतना	भोगावी	0.97769
लग	लागत	0.977688
किए	केलेल्या	0.977634
किया	केल्या	0.977594
माँगा	मागितला	0.977515
करता	करतो.	0.977506
दिख	दिसत	0.977489
खरीदती	करते	0.977483
की	केली	0.97743
मिलेगी	मिळेल	0.977412
करते	करुन	0.977275
दिखायी	दिसू	0.977258
शुरू	करु	0.977239
विसर्जित	परतले	0.977147
बना	बनवले	0.97714
निकलना	निघायचे	0.977134
समझना	समजणे	0.97713
हुआ	होती	0.977117
चर	चरत	0.977108
बनी	बनले	0.977093
चरता	चरते	0.977045
दे	देत	0.977036
मिलकर	मिळून	0.976999
आकर्षित	करणे	0.976946
लगने	लागणारा	0.976913
बन	बनवला	0.976907
सैर	आहे	0.976868
करता	करतो	0.976859
बना	बनले.	0.976822
कर	करुन	0.976747
होने	उठून	0.976741
देने	देण्याचा	0.976715
जाएँ	जाऊ	0.976711
जाती	जातात	0.976709
लुका-छिपी	वाहणारी	0.976643
स्पर्श	करत	0.97663
भरी	भरली	0.976483
चलने	सुटण्यास	0.97644
भर	भरत	0.976409
होते	होत	0.976399
होने	होण्याचे	0.976396
आकर्षित	करतात.	0.976395
करें	करू	0.976371
बनी	बनवली	0.97637
होने	होण्याच्या	0.97632
गाते	आहे	0.976302
दिखती	दिसते	0.976281
चलते-चलते	चालून-चालून	0.976265
स्थित	बांधलेला	0.97625
पड़ता	पडते.	0.97607
हुआ	होती.	0.976053
बन	बनलेली	0.97603
हैं	नोंदली	0.976023
होता	वाटत	0.976017
खाकर	खात	0.975916
दिखाई	दिसू	0.975877
जाता	जाण्यास	0.975867
होती	होत	0.975773
जाएँगे	जाऊ	0.97572
निहारते	न्याहाळत	0.9757
करवाना	करावे	0.975614
ठहरा	उतरता	0.97558
होती	असतात	0.975579
बनाया	बनवली	0.975556
होना	होईल	0.975507
करता	करतात	0.9755
मिलेगा	मिळेल.	0.97547
होना	होणे	0.975363
होता	होतो.	0.975265
करने	करते	0.975253
होगा	होते	0.975198
करना	करायला	0.975108
मर	मेली	0.975107
होने	आहेत	0.975053
उठा	आहे	0.974897
बनी	बनलेली	0.974816
अंकित	नोंदवलेले	0.974781
सुरक्षित	करते	0.974744
पहुँच	पोहोचु	0.974617
पहुँचने	पोचण्यात	0.974566
बदलने	बदलण्याचा	0.974549
चढ़ने	चढण्याचे	0.974534
बन	बनले	0.974522
मिल	मिळु	0.974465
पहुँच	पोहचतो	0.974353
किया	केलेच	0.974339
बनाये	बनवली	0.974336
करने	करणारा	0.974282
कर	करणार्‍या	0.974256
लगने	लागल्यामुळे	0.974252
कूद	होऊन	0.974236
बनीं	बनलेली	0.974225
टकराकर	आपटून	0.974208
हैं	खाण्या	0.974169
बना	बांधला	0.974125
भर	भरले	0.974044
दिया	आहेत	0.97404
पहुँच	पोहचता	0.974014
हुआ	होते	0.973773
समझने	समजण्याचा	0.973721
उड़ाती	उडवतात	0.973686
लग	लागतात	0.973685
बना	येणे	0.973683
बनाया	बनवला	0.973604
पहुँचने	पोहचण्यात	0.973574
बने	बनलेली	0.973409
करने	करणार्‍या	0.973379
होती	असतात.	0.973195
मिलेगी	मिळणार	0.973114
बनाए	बनवली	0.973015
खेले	खेळल्या	0.972966
जानी	आहे	0.972963
की	केला	0.972727
बदल	बदलते	0.972722
गाते	गातात	0.972686
होने	नसताना	0.972666
होना	आहे	0.97265
दबकर	दबून	0.972641
देने	देण्याची	0.972612
देखा	राहणार्‍या	0.972405
जाती	जाणारा	0.972368
आना-जाना	येणे-जाणे	0.972241
उभरती	उभरताना	0.972164
पूजी	पूजिल्या	0.972147
घुसते	घुसताच	0.972105
निभाई	निभावली	0.97202
चढ़़कर	चढून	0.971907
चढ़कर	चढून	0.971907
खाएँ	खावे	0.971843
होती	वाटते	0.971776
बनाई	बनवला	0.971732
हुआ	होतात	0.971626
बनवाए	बांधलेल्या	0.971607
बनाये	बनवला	0.971532
किया	जाऊन	0.971511
स्थित	अभयारण्यासारखी	0.971489
बने	बनवले	0.97145
देने	देण्यावर	0.97145
देखने	देता	0.97139
पड़़ती	पडतो	0.971275
हटा	होत्या	0.971032
दबी	दबलेल्या	0.97054
रहकर	राहून	0.970384
फूल	फळत	0.970216
कर	करून	0.97021
दिखाई	दिसते	0.970059
पूजित	पूजिली	0.969984
बनायी	बनवला	0.969884
देंगे	देतील	0.969784
मिलते	मिळतो	0.969536
किए	के्ल्या	0.969465
किए	केल्या	0.969465
मारी	मारली	0.969437
जाते-जाते	जाता-जाता	0.969369
होने	आणली	0.969237
बन	बनलेले	0.969199
बनी	बनलेले	0.969142
दिखाते	दाखवत	0.969006
बनायी	बनवली	0.968932
दिया	देण्यात	0.96893
हो	आहे	0.968919
बनाया	बनवले	0.968894
मारे	मारल्या	0.968757
आयोजित	आहे,	0.968623
आयोजित	आहे	0.968623
है	आहे्	0.9686
है	आहे	0.9686
है	आहे’	0.9686
चल	चालून	0.968483
जाएँ	घेऊ	0.968475
होने	होणार	0.968111
बनाई	बनवली	0.96793
बनवाया	बांधविले	0.967913
करें	करा	0.96776
लड़ा	लढले	0.967634
दे	देण्यात	0.967581
गए	वाटणॆ	0.967576
देखने	दिसण्याची	0.967522
यह	आहे	0.967519
किया	केला	0.967492
किया	के्ला	0.967492
जाने	जाणार्‍या	0.967457
है	पीत	0.967418
करने	आवडणारे	0.967355
पहुँचता	पोहचतो	0.967129
है	आहे.	0.966941
थी	आहे	0.96689
देना	देण्यास	0.966707
चढ़ने	चढण्याची	0.96669
आकर	येत	0.966673
लगवाकर	लावून	0.966543
माँगी	मागितली	0.966368
कहते	केले	0.966356
दबे	दबलेले	0.96618
करने	करतात	0.966109
बने	बनलेले	0.966082
दिखायी	दिसते	0.966044
पुकारा	ओळखाले	0.96604
कलकल	असलेले	0.965994
गया	आहे	0.965863
टिकी	आहे	0.965669
चढ़ने	चढण्याच्या	0.965623
बना	बनलेली	0.965515
चलती	चालते	0.965405
जाने	आहे	0.965308
थे	आहेत	0.965285
किये	केलेले	0.965244
जीत	जिंकले	0.965209
टिका	आहे	0.965122
कराने	करायची	0.965049
आयोजित	होतात	0.965019
माँगी	मानले	0.964964
करवाया	करण्यात	0.964914
बनाएँ	बनवला	0.964794
देने	आहेत	0.96476
फँस	फसत	0.964708
आने	आहे	0.964584
पड़ता	पडते.	0.96452
पड़ता	पडतो	0.964437
बनवाया	बांधलेला	0.964415
टूट	आहे	0.964414
होनी	होणार	0.964407
बनाए	बनवले	0.964403
बनाये	बनवले	0.964355
हुआ	हिंडणे	0.964259
बनवाने	बांधण्याचा	0.964246
सूख	सुकते	0.964205
आयोजित	जाण्यासाठी	0.964108
है	वाटत	0.964086
बनवाया	बनवला	0.964022
विलीन	नाही	0.963944
लगाने	लावल्यानंतरच	0.963569
देने	देण्याचे	0.963557
किए	केली	0.963475
दिखने	दिसू	0.963233
सैर	आहेत.	0.9631
बनी	बनल्या	0.963014
जानकारी	जाण्याच्या	0.962963
दिखता	दिसत	0.962929
पहुँचना	पोहचावे	0.962922
पाई	वेढलेल्या	0.962835
लिखा	लिहिले	0.962792
जाने	आहेत	0.962723
आते	दिसणार्‍या	0.962692
बैठने	बसल्यानंतर	0.9626
हैं	बांधलेल्या	0.962424
उतार	उतरवत	0.962406
बनी	बनलेला	0.962319
लगा	लावता	0.962295
चढ़ने	चढण्यात	0.962282
बदल	बदलत	0.962208
काम	केले	0.961998
बनवाए	बनवली	0.961912
आयोजित	होताच	0.961909
पहुँच	वा्ढतो	0.961899
हुआ	होत	0.961638
संभव	नाही	0.961605
लगाने	लावणार्‍या	0.961549
रहने	राहणार्‍या	0.961486
बना	बांधले.	0.961477
झूलते	झुलताना	0.961227
हों	नसाल	0.961218
चढ़ा	चढलेला	0.960809
बना	बांधले	0.96059
बनी	बनलेल्या	0.960586
चलते	चालता	0.96
बनवाई	बनवली	0.959948
मिलेंगें	मिळतील	0.959829
लेने	घ्याल	0.959752
उपस्थित	होते	0.95971
मढ़ी	मढवलेल्या	0.959666
शुरू	करणारे	0.959663
पकड़	पकडून	0.959607
मिलता	मिळतो	0.959494
हुई	वाहू	0.959448
कर	करण्याचा	0.959086
धोकर	धुऊन	0.959064
बनाई	बनवले	0.959037
पड़ता	पडतो	0.958934
होती	वाटतो	0.958906
बने	बांधलेल्या	0.958784
उड़ते	उडणार्‍या	0.958654
बन	बनल्या	0.958562
लग	लागली	0.958519
आते	येतात.	0.958446
दी	देतात	0.958327
करें	करावा	0.958249
सोई	आहे	0.95821
कर	करील	0.958074
बने	बनलेल्या	0.957865
पड़ने	पडणाऱ्या	0.957483
होते	होणाऱ्या	0.957206
बनवाया	बनवली	0.95673
हुआ	आहे	0.956607
होते	असायचे	0.956594
आते	ये-जा	0.956328
