HINDI 	MARATHI 	SCORE
पर्वत	"पर्वत	0.98542
बाग	बागेच्या	0.985419
मूल	मूळ	0.985415
भट्‍टी	भट्टीच्या	0.985413
बगीचा	बाग	0.985413
भाई	भाऊ	0.985405
बहन	भगिनीने	0.985402
साल	शाल	0.985399
भोजन	भोजना	0.985399
बाइक	बाइकवर	0.985397
कि.मी.	किमी	0.985396
भवनों	भवनांशी	0.985392
वेशभूषा	``वेशभू्षा	0.985391
प्रभु	``प्रभु	0.985391
पक्षियों	पक्ष्यां	0.98539
पर्वत	पर्वतशिखरे	0.985388
सुरई	सुरईचे	0.985388
सुराही	सुरईच्या	0.985387
सफलता	सफलतेचे	0.985385
मीलों	मैलन्	0.985385
मकबरों	मकबर्‍यांवर	0.985384
राजा	राजाने	0.985381
महिलाएँ	महिलाच	0.985377
लाइन	लाइनचा	0.985377
भाग	भागात	0.985375
कैन्टन	कॅन्टनचा	0.985372
संदेह	शंका	0.985372
सैलानी	सहल	0.985372
ध्वनि	ध्वनी	0.985371
रोप-वे	रोप	0.98537
नाम	नावे.	0.985369
बाग	बागेचा	0.985365
बर्फ	बर्फाच्या	0.985365
भव्य	बाजुंनी	0.985363
रोड	रोडवर	0.985362
भूख	भूकही	0.985359
वृक्षों	वृक्षांच्या	0.985358
चन्दन	चंदन	0.985358
स्नान	स्नानगृह	0.985357
पक्षियों	पक्ष्यांची	0.985355
स्नान	स्नानाला	0.985352
विद्युत	वीज	0.98535
भूख	भूक	0.985347
रोड	रोड`	0.985346
सीमान्त	सीमांत	0.985346
बैंकों	बँकां	0.985343
नदियाँ	नद्याच	0.985342
बर्फ़	बर्फ	0.985339
बॉलीवुड	बॉलीवुडला	0.985339
सौंदर्य	सौंदर्य,	0.985338
सौन्दर्य	सौंदर्य	0.985338
केन्द्र	केंद्र	0.985337
वैभव	वैभवाचे	0.985335
जनाना	जनानी	0.985332
बसों	बसेसची	0.985331
बर्फ	बर्फाचा	0.98533
औषधि	औषधी	0.98533
बर्फ़	बर्फाच्या	0.985324
भागों	भागात	0.985324
शासन	शासनाचे	0.985323
सीमेंट	सिमेंट	0.985318
सीमेन्ट	सिमेंट	0.985318
नौसेना	नौसेनाच्या	0.985316
फूलों	फुलाचे	0.985316
बीच	बीचवरुन	0.985315
शुरुआत	सुरुवात	0.985315
क्रिवैस	क्रिवेसवर	0.985314
कि.मी.	कि.मी	0.985312
भक्‍त	भक्त	0.985312
कि.मी.	कि.मी.,	0.985311
रेड	’रेड	0.985311
संस्थाएँ	संस्था	0.98531
विद्वान	विद्ववान	0.985309
भाषा	भाषेतच	0.985305
ब्राड	ब्रॉड	0.985302
कष्‍टों	कष्‍टांचे	0.985301
संदेह	संशय	0.9853
जिले	जिल्हे	0.9853
कि.मी.	किमी.	0.985296
प्राय:	पर्वतांवर	0.985295
रेलवे	रेल्वे	0.985295
लोग	लोकच	0.985294
बादशाह	बाग	0.985291
लोगों	``लोकांची	0.98529
लोगों	लोकांची	0.98529
कृषि	कृषी	0.985287
संगठन	संघटना	0.985285
लोग	लोक	0.985276
कि.मी.	कि.मीहून	0.985274
कि.मी.की	कि.मी.	0.985273
स्थान	स्थानावर	0.985271
साइकिल	सायकल	0.98527
भाग	भागत	0.985269
बस	बसने	0.985269
फैशन	फॅशनचे	0.985268
किला	किल्ला	0.985268
रियासतों	राज्यांना	0.985266
फर्लांग	फर्लांगच्या	0.985263
सोने	सोन्याचे	0.985261
किलों	किल्ल्यांचे	0.985255
विवाह	विवाहाची	0.985254
जंगलों	जंगलें	0.98525
विजेता	विजेत्या	0.98525
बर्फ़	बर्फाचा	0.985247
मील	मैल	0.985246
महिला	महिलेने	0.985245
स्थान	स्थानवर	0.985244
बर्फ़	बर्फाचे	0.985243
घराना	घराणे	0.985243
नदी	नदीत	0.985239
नागिन	नागीण	0.985233
भय	भीतिने	0.98523
लोगों	लोकांचे	0.985229
पुल	पूल	0.985229
बोटिंग	बोटिंगने	0.985228
भक्ति	भक्ती	0.985227
संतों	संतांच्या	0.985226
श्री	``श्री	0.985225
श्री	"श्री	0.985225
स्थान	स्थानी	0.985224
शासन	शासनाच्या	0.98522
वर्षों	वर्षांत	0.985219
गलियों	गल्ल्यांच्या	0.985218
फाटक	फाटकात	0.985217
वन	``वन	0.985216
रानी	राणीने	0.985215
लेखक	लेखकाने	0.98521
मेले	मेळे	0.985206
बात	बातमी	0.985203
जंगलों	जंगलांच्या	0.985201
नदी	नदीची	0.985201
ब्रांड्स	ब्रॅंड्सचे	0.985201
प्वाइंट	पॉईंट	0.985197
अलावा	ग्लेशियर	0.985196
पुस्तक	पुस्तकात	0.985194
भक्ति	"भक्ति	0.985193
बिस्तर	बिछाना	0.985192
प्रकार	प्रकारे	0.985189
पर्यटन	पर्यटनस्थळ	0.985187
सुरंग	सुरंगाच्या	0.985186
उद्यान	उद्याने	0.985185
संख्या	संख्येने	0.985183
जानवर	जनावर	0.985182
सामान्यतः	"सामान्यतः	0.985181
संतान	संतती	0.98518
वृक्षों	वृक्षांना	0.985179
वर्षों	वर्षांच्या	0.985178
हॉर्स	"हॉर्स	0.985176
क्रिवैस	क्रिवेस	0.985174
सूटकेस	सुटकेस	0.985174
पर्वतों	पर्वतांवर	0.985173
सरलता	सरलताच	0.985172
संस्थान	संस्था	0.985169
कवि	कवी	0.985166
मजे	मजेची	0.985165
नवीनीकरण	नूतनीकरण	0.985165
ग्रेनाइट	ग्रॅनाइट	0.985163
हाथ	हात	0.985159
नदियाँ	नद्या	0.985157
लोगों	लोकांनी	0.985152
अवधि	अवधी	0.985149
सम्राटों	सम्राटांनी	0.985147
पैसा	पैसे	0.985144
लोग	लाखो	0.985139
शॉलें	शॉली	0.985139
वन	वने	0.985137
भविष्‍य	भविष्यात	0.985136
भविष्य	भविष्यात	0.985136
लहरों	लाटांनी	0.985135
अभ्यारण्य	अभयारण्य	0.985132
आवश्‍यकता	आवश्यकता	0.985131
सोने	सोन्याच्या	0.985131
बर्फ	बर्फाचे	0.985129
पैकिंग	पॅकिंग	0.985125
गलियों	गल्लींचे	0.985125
सोने	सोन्याचा	0.985124
ट्रैवल	ट्रॅवल	0.985123
नदी	नदी’च्या	0.985122
नदी	नदीच्या	0.985122
पर्वतचोटी	पर्वतशिखरे	0.985122
नाम	नावे	0.985121
बस	बसच्या	0.985121
रक्षा	रक्षासाठी	0.985121
फीट	फूट	0.985117
फीट	२६८फूट	0.985117
नदी	नदीचे	0.985116
यवनों	यवनांच्या	0.985112
नाग	``नाग	0.98511
वाहनों	वाहनांना	0.985109
स्थानीय	स्थानिक	0.985108
वर्गों	वर्गांच्या	0.985107
रेल	रेल्वेने	0.985105
पादरियों	पाद्रीं	0.985104
लोगों	लोकांच्या	0.985094
मात्र	महीने	0.985092
जाने	थेट	0.985089
सुन्दरता	सुंदरता	0.985087
नदी	नद्यांवर	0.985085
ऋषि	ऋषीची	0.985083
बुल्स	बैलाबरोबरच्या	0.985081
पैकिंग	पॅकिंगच्या	0.98508
आंदोलन	आंदोलनात	0.985079
बर्फ़	बर्फाची	0.985078
आनन्द	"आनंद	0.985078
लोगों	लोकांचा	0.985077
पक्षियों	पक्ष्यांचे	0.985072
बीचों	बीचवर	0.985072
कि.मी.	कि.मी.च्या	0.985071
नौकर	नोकर	0.985066
रेल	रेल्वे	0.985066
रेल	``रेल्वे	0.985066
सीट	सीटवर	0.985065
बस	बसनेही	0.985062
मस्जिद	मशिद	0.985061
नदियाँ	नद्यां	0.985057
कलाओं	कलांचे	0.985055
सुन्दरतम	उद्यानांपैकी	0.985051
फीट	फुट	0.985044
पर्यटकों	पर्यटकांवर	0.985044
हृदय	हृदयात	0.985042
रानी	राणी	0.985041
डॉल्फिन	डॉल्फिनच्या	0.985041
मस्जिद	मशीद	0.985039
संस्थान	संस्थेचा	0.985039
भविष्‍य	भविष्‍याची	0.985037
राष्‍ट्रपति	राष्ट्रपति	0.985035
खदानों	खाणींचे	0.985035
व्यवस्था	वीज	0.985034
खुर	खुरं	0.98503
शालों	शालींवर	0.985029
बर्फ	बर्फाने	0.985029
टैक्सी	टेक्सी	0.985027
रोड	रोडावर	0.985027
बर्फ	बर्फानी	0.985026
ट्रैवल	ट्रॅव्हल	0.985023
भाग	भागावर	0.985022
बैनर	बॅनर	0.985019
स्थान	स्थानही	0.985016
प्वाइंट	पॉईंटवर	0.985015
बसें	बस	0.98501
पर्वत	पर्वतावर	0.985007
पर्वतों	पर्वत	0.985006
माँ	"माता	0.985006
माँ	``माता	0.985006
माँ	माता	0.985006
प्रांगण	प्रांगणात	0.985006
को	’को	0.985006
राजाओं	राजांची	0.985003
सीमाओं	सीमांची	0.984998
फुट	फूट	0.984996
नारियल	नारळ	0.984996
रेडियो	रेडिओ	0.984991
साथ	सौंदर्यही	0.984987
भित्ति	भिंतीवर	0.984987
सुधार	सुधारणा	0.984985
वनों	वनांच्या	0.984985
पक्षियों	पक्ष्यांना	0.984984
पर्वत	पर्वताच्या	0.984984
पक्षियों	पक्ष्यांच्या	0.984978
सन्‌	सन	0.984978
सन्	सन	0.984978
फूलवालों	फूल	0.984975
ग्लेशियर	ग्लेशियरला	0.984973
सिंपल	साध्या	0.984973
बर्फ	``बर्फ	0.984972
बाग	बागेत	0.984972
जंगलों	जंगलांनी	0.984971
राष्ट्रपति	राष्ट्रपती	0.984969
राष्‍ट्रपति	राष्ट्रपती	0.984969
स्थान	सुंदरतम	0.984967
सपनों	स्वप्नांचा	0.984963
नदी	नदीला	0.984963
सुरंगें	सुरंग	0.984959
बस	बसचे	0.984955
संस्थान	संस्थेत	0.984954
खदाने	खाण	0.984952
नौका	नदीत	0.984951
प्रवचन	प्रवचनच्या	0.984948
लोगों	लोकांना	0.984944
भिक्षुओं	भिक्षुंना	0.984943
जमीन	जमिनीला	0.984942
पर्यटन	पर्यटनावरुन	0.984941
बीच	बीचपासून	0.984934
वनों	वन	0.984931
अभाव	अभावाची	0.984928
मजे	मजेतच	0.984928
पग	पद	0.984927
डालर	डॉलर	0.984926
दुकानें	दुकाने	0.984925
घाटों	घाटांना	0.984924
पर्यटन	पर्यटनच	0.984922
वायु	वायू	0.984921
मानव	मानवाच्या	0.984914
बस	बसचा	0.984912
ऊर्जा	उर्जा	0.984912
नजदीक	नदीवर	0.984912
ग्लेशियर	ग्लेशियरवर	0.98491
जानवर	जनावरे	0.984909
माह	महिने	0.984909
वास्तुशिल्प	वास्तूशिल्प	0.984907
नदी	नदीचा	0.984905
माह	महिन्यात	0.984903
लामाओं	लामा	0.984899
रास्तों	रस्त्याने	0.984899
नौ-सेना	नौ	0.984894
किंवदंती	दंतकथेनुसार	0.984894
रकसैक	रकसॅक	0.984892
रंगों	रंगांच्या	0.984889
अशांति	अशांती	0.984887
भट्‍टी	भट्टीत	0.984881
दरवाजे	दरवाजा	0.984881
घोषणा	घोषणेने	0.98488
नाम	नावं	0.984877
जलकुण्ड	जलकुंड	0.984875
राग	रागाचे	0.984873
पर्यटन	पर्यटनाची	0.984873
सींग	शिंग	0.984871
स्थानीय	"स्थानीक	0.984864
परमाणु	परमाणू	0.984864
ब्लैक	ब्लॅकमध्ये	0.984859
पक्षियों	पक्ष्यांचा	0.984854
लौह	लोखंड	0.984853
स्कीइंग	स्कीइंगचा	0.984853
इच्छुक	इच्छा	0.984851
सपनों	``स्वप्नांचे	0.984849
दुनिया	गणना	0.98484
सींग	शिंगी	0.984831
प्रति	प्रतिव्यक्ति	0.98483
वर्षों	वर्षानंतर	0.984829
स्कीइंग	स्कीइंगचे	0.984824
वायुयान	वायुवाहन	0.984821
कैमल	कॅमल	0.984821
रानी	नैऋत्येच्या	0.984814
’डोड्‍डाइलादा	डोड्‍डाइलादा	0.984809
नाकविहीन	निःसंदेह	0.984807
महिला	महिलेला	0.984805
पड़ाव	पडाव	0.984804
महल	मूल	0.984803
किले	किल्ला	0.984797
लूट	लूटीच्या	0.984794
रातों	रात्री	0.984788
रास्तों	रस्त्यांना	0.984788
पहाड़ों	पहाडांवर	0.984788
संख्या	संख्येत	0.984785
जिला	जिल्हा	0.984783
रेलमार्ग	रेल्वे	0.984777
कारण	कारणे	0.984776
नदियों	नद्यांचे	0.984775
नहाने	स्नान	0.984774
महीना	महिना	0.984769
बुराँश	बुरांश	0.984768
दिन	जून	0.984764
स्थानों	स्थानांवर	0.984763
जन्तु	जंतु	0.98476
रंग	रंगाच्या	0.984757
हस्तकलाएँ	हस्तकला	0.984756
बर्फ	बर्फात	0.984743
यान	यानवर	0.984742
कप	कपाच्या	0.98474
संबंध	संबंधात	0.984735
विभाग	विभागाने	0.984733
पर्यटन	``पर्यटनाचे	0.984733
पर्यटन	पर्यटनाचे	0.984733
झील	दल	0.984731
पर्यटन	पर्यटनाच्या	0.984727
पर्यटन	``पर्यटनाच्या	0.984727
पर्यटन	"पर्यटनाच्या	0.984727
महीने	महिने	0.984726
तुलना	तुलनेत	0.984718
जंगलों	जंगलांत	0.984714
सीमा	सीमेशी	0.984712
रंग	रंगात	0.984708
दलदल	दलदलीला	0.984707
परिस्थिति	परिस्थिती	0.984706
कि.मी.	कि.मीवर	0.984704
जल	जलाने	0.984702
पैंट	पॅंट	0.984698
प्रान्त	प्रांताने	0.984691
भेंटा	भेटी	0.984691
वाहनों	वाहनाने	0.984691
हाथ	हाताने	0.984689
कि.मी.	कि.मी.वर	0.984688
बस्ती	बस्तीच्या	0.984688
दलदल	दलदली	0.984688
काली	खोलीचे	0.984685
उन्हें	नावानेही	0.984685
ज़िराफ	जिराफाची	0.984684
जीवन	वन्य	0.98468
नदियों	नद्या	0.984679
राजा	``राजा	0.984674
मई	मे	0.984671
सुइट	सुइटचे	0.984669
उद्यान	उद्यानास	0.984667
प्रवास	प्रवासात	0.984655
पर्वतों	पर्वतावर	0.984654
जिलों	जिल्ह्यात	0.984647
रोपवे	रोप	0.984645
मौके	मोक्यावर	0.984645
रजाई	रजई	0.984637
फीट	फूटावर	0.984631
बजे	बस	0.984631
मेला	मेळ्याच्या	0.984627
चर्च	चर्चेस	0.984624
वाहन	वाहने	0.984619
उत्तर	"उत्तरेस	0.984618
उत्तर	उत्तरेस	0.984618
सेना	सेनेची	0.984613
संबंध	संबंधी	0.984611
रात	रात्र	0.984598
शिक्षकों	शिक्षकांची	0.984598
बसों	बस	0.984593
सूरज	सूर्याची	0.984593
नाम	नावानेही	0.984592
केंद्र	किनारा	0.984588
बसों	बसेसशिवाय	0.984585
चिंडी	छटांचा	0.984584
मान्यता	मस्तक	0.984583
बाहुबल	बाहुबलाने	0.984574
नेचर	निसर्ग	0.984573
रिज़ोर्ट	रिसॉर्ट	0.98456
सूरज	सूर्याच्या	0.98456
हीरों	हिर्‍यांचे	0.984556
वृक्षों	वृक्षांवर	0.984553
महीनों	महिने	0.984552
प्राय:	पर्वतावर	0.984551
रेस्तराओं	रेस्टॉरंट	0.984547
पर्यटन	पर्यटनाचा	0.984545
संघ	संघाच्या	0.984545
अभियानों	अभियानात	0.984544
लीथियम	लिथीयम	0.984541
कपड़े	कपडे	0.984539
पर्यटकों	पर्यटकांना	0.984537
कस्‍बे	कसब्याला	0.984536
बारहसिंगा	बाराशिंगा	0.98453
सुइट	सुइटमध्ये	0.984528
सूरज	सूर्याचा	0.984524
पर्यटन	पर्यटनास	0.984524
कलायें	कलां	0.984519
स्तर	स्तरावरील	0.984517
सदस्य	सदस्याने	0.984516
मॉड्यूल्स	मॉड्यूल्सला	0.984515
विदेशियों	विदेशींना	0.984515
मठों	मठांची	0.984513
प्रकार	प्रकारची	0.984505
निश्‍चित	निश्‍चिंत	0.984505
दुकान	दुकानावर	0.984487
पूर्वी	पूर्व	0.984482
कि.मी.	किमी.च्या	0.984481
महीने	महिन्यात	0.984479
पुलों	पूल	0.984467
रत्‍नों	रत्ने	0.984466
पड़ाव	पडाव	0.984462
प्रगति	प्रगती	0.984461
पैराग्लाइडिंग	पॅराग्लाइडिंग	0.984461
जहाज	जहाजे	0.984447
पर्यटन	पर्यटनाला	0.984446
महीने	महिन्यास	0.984444
रातें	रात्री	0.984434
पर्यटकों	पर्यटकांची	0.984434
कि.मी.	किमीच्या	0.984432
गलियाँ	गल्ल्या	0.984432
तरह	उत्तरम	0.984424
मील	मैलावर	0.984424
ग्रहों	ग्रहांचे	0.984419
कोठी	कोठीत	0.984411
अभियान	अभियानात	0.984405
राजाओं	राजांनी	0.984404
सीमांत	सीमेवर	0.984398
माता	मातेच्या	0.984391
खदानें	खाणी	0.984382
त्वचा	त्वचेचे	0.984373
पुस्तक	पुस्तकाचे	0.984373
तोप	तोफही	0.984372
अलावा	चॉकलेटशिवाय	0.98437
संग्राहालय	संग्रहालय	0.984368
चित्रों	चित्रांची	0.984368
आदि	द	0.984359
साड़ियाँ	साडया	0.984358
साड़ियाँ	साड्या	0.984358
स्वर्ण	सुवर्ण	0.984356
नाम	नावावर	0.984356
फर्श	फरशी	0.984355
कपड़े	कपडे	0.984354
थकावट	थकवा	0.984352
महानगर	महानगरे	0.984347
कि.मी.	कि.मी.चा	0.984343
पर्वत	पर्वताचा	0.984341
स्टॉलों	स्टॉलसवर	0.984341
यात्रा	``यात्रा	0.984341
सीट	सीटच्या	0.984339
रेस्तरां	रेस्टॉरंट	0.984338
बुग्याल	बुग्यालच्या	0.984334
प्रकृति	प्रकृती	0.984332
स्टाइल	स्टाइलला	0.984331
बैठक	बैठकीत	0.98433
महीने	मे	0.98433
धोखा	धोका	0.984323
ग्रीष्‍म	ग्रीष्म	0.984315
किवंदंती	दंतकथेनुसार	0.984309
मीटर	मी.	0.984309
माँग	मागणीने	0.984309
उद्यान	आचे	0.9843
राज्य	राज्याची	0.984299
साहित्य	साहित्यात	0.984294
ट्रेवलाइन	ट्रेव्लाइन	0.984292
सीमाएँ	सीमा	0.984286
विशेषता	वैशिष्ट्य	0.984281
जंगलों	जंगले	0.984276
नदियों	नद्यांच्या	0.984273
महत्त्व	महत्व	0.984268
राजाओं	राजांचे	0.984264
श्रद्धालु	श्रद्धाळू	0.984264
स्नान	स्नानासाठी	0.984257
रुपए	रुपये	0.984253
पर्यटकों	पर्यटकांनी	0.984251
भाई	बंधूने	0.984246
द्वीप	कि.मी	0.984243
स्थान	स्थानं	0.984226
दरगाह	दर्गा	0.984225
नाश्ता	न्याहारी	0.984225
राज्यों	राज्यांनी	0.984223
दिवसीय	दिवसाच्या	0.984217
नाम	नावाची	0.984216
कब्जे	कब्ज्याच्या	0.984205
रहँट	रहाट	0.984204
देशों	देशांशी	0.9842
सुधारों	सुधारणा	0.984187
भक्‍तों	भक्‍तांची	0.98418
महत्व	महत्त्व	0.984174
पर्यटकों	पर्यटकांचे	0.984173
संग्रहालय	संग्रहालत	0.984167
चढ़ाई	चढाईचा	0.984167
स्थान	स्थानाला	0.984167
मान्यता	माहेर	0.984165
मीटर	मी	0.984165
स्मृति	स्मृतीत	0.984164
थाईग	थाइग	0.984162
लगातार	लोक	0.984158
प्रयास	प्रयत्नाला	0.984157
प्रकार	प्रकारच्या	0.984156
वर्ष	वर्षी	0.984152
पुजारी	पुजारीं	0.984139
कैमरों	कॅमर्‍याची	0.984137
पैर	पाय	0.984135
उद्यान	उद्यानात	0.984134
राज्यभिषेक	राज्याभिषेक	0.984133
नौकायन	नौकायनादरम्यान	0.984119
माध्यम	माध्यमं	0.984115
शांति	शांततेत	0.984114
पर्यटन	पर्यटनाशी	0.984109
जुलाई	जुलै	0.984108
चीड़	चीडच्या	0.984092
पुल	पुलाने	0.98409
लस्सी	लस्सीचे	0.984087
आभूषणों	आभूषणें	0.984085
पीढ़ियों	पिढ्यांची	0.984078
चढ़ाई	चढ	0.984078
भक्त	भक्ताने	0.984076
भक्‍त	भक्ताने	0.984076
पक्षियों	पक्षांच्या	0.98407
नाम	नावाचे	0.984058
योजना	योजने	0.984051
नाम	नावाच्या	0.984049
रात्रि	रात्री	0.984047
सोना	सोने	0.984047
मान्यता	मनुष्य	0.984045
प्रकार	प्रकारचे	0.984045
रूप	रूपाने	0.984043
राजा	राजे	0.984031
संगमकाल	संगमकाळ	0.98403
बर्फ़	बर्फात	0.984027
दुनिया	दुनियेत	0.984021
पानी	पाण्यावर	0.984013
रेलमार्ग	``रेल्वेमार्ग	0.984012
रेलमार्ग	रेल्वेमार्ग	0.984012
सेना	सेनेसह	0.984011
यात्राएँ	यात्रा	0.984009
हवा	हवेत	0.984006
मन्दिर	मॉ	0.984004
मंदिर	मॉ	0.984004
सींग	शिंगांसाठी	0.984001
पुराण	पुराणात	0.983999
नव	नववर्ष	0.983999
व्हेलों	व्हेल	0.983995
लाखों	लाखोंची	0.983994
प्रयास	प्रयत्न	0.98399
चाकू	चाकुचे	0.983989
होटलों	हॉटेलांशिवाय	0.98398
’मीटर	मीटर	0.983979
पशु	पशू	0.983978
स्थापन	``स्थापन	0.983978
मैदान	मैदाने	0.983977
फूलों	फूलांच्या	0.983971
महाकवि	महाकवी	0.983971
नाटक	नाटकाची	0.983967
यात्रा	यात्रेची	0.983962
मस्ती	मस्तीचे	0.983953
दिन	"दिवस	0.983951
दिन	दिवस	0.983951
परिचायक	प्रतीक	0.983939
वर्ष	वर्षाच्या	0.983933
मूर्ति	मूर्तीची	0.983927
उद्यान	उद्यानाच्या	0.983925
सच	सत्य	0.983914
दुकानों	दुकानांवर	0.983912
मोटरसाइकल	मोटरसायकल	0.983907
चित्रों	चित्रांनी	0.983905
राज्य	राज्यात	0.983903
प्रतीक्षा	प्रतीक्षेत	0.983898
चढ़ाई	चढाई	0.983891
खुदाई	जागेच्या	0.983891
बैलगाड़ी	बैलगाडी	0.983889
फूलों	फुले	0.983877
स्वागत	स्थित	0.983875
मित्र	माझ्या	0.98387
संख्या	मान्सूनमध्ये	0.983862
मूर्ति	मूर्तिच्या	0.983846
नदियों	नदी	0.983845
ऐतिहासिक	महत्त्वाचे	0.983836
महीनों	महिन्यात	0.983815
बर्फ़	बर्फाने	0.983799
मन्दिर	मंदिर	0.98379
इस्मा	इस्माची	0.983787
घाटी	घाटीत	0.98378
स्थित	साधारण	0.983776
नदियों	नद्यांचा	0.983772
अप्रैल	एप्रिल	0.983771
बारे	बद्दल	0.98377
सूर्य	"सूर्य	0.983767
मवासों	मवासांचे	0.983764
कलाओं	कलांनी	0.98376
तथ्य	तथ्याशी	0.983759
माउंटेन	माउंटन	0.983758
शिष्यों	शिष्यांची	0.983756
कलशों	कलशांजवळ	0.983754
चौकोर	चौक	0.983727
सैरगाह	सहलीचे	0.983721
प्रदर्शनियों	प्रदर्शनात	0.983717
क्षण	क्षणाची	0.983715
परिवार	परिवाराने	0.983711
वीजा	व्हिसा	0.983704
प्रदेश	पूर्वी	0.983688
मन्दिर	मंदिर-	0.983687
हाइकिंग	हाइकिंगचे	0.983684
जाति	जाती	0.983682
बर्फ	बर्फावर	0.983674
र्ग	रस्ता	0.983667
नाम	नाव	0.983654
सबसे	प्लाट्ज	0.983648
साम्राज्यों	साम्राज्याने	0.983643
बरामदे	बरोबरची	0.983641
पुनः	पुन्हा	0.983641
स्कीइंग	स्कीईंग	0.983628
मिनट	मिनटांचा	0.983619
रास्ते	रस्त्याने	0.983605
